,ID,date,obs
926,7,2023-03-08,F
927,8,2023-03-08,N
928,9,2023-03-08,N
929,10,2023-03-08,N
930,11,2023-03-08,F
931,12,2023-03-08,N
932,13,2023-03-08,F
933,14,2023-03-08,N
934,15,2023-03-08,N
935,16,2023-03-08,N
936,17,2023-03-08,N
937,18,2023-03-08,F
938,19,2023-03-08,F
939,20,2023-03-08,N
940,21,2023-03-08,N
941,22,2023-03-08,N
942,23,2023-03-08,N
943,24,2023-03-08,N
944,25,2023-03-08,N
945,26,2023-03-08,N
946,27,2023-03-08,N
947,28,2023-03-08,N
948,29,2023-03-08,N
949,30,2023-03-08,N
950,31,2023-03-08,N
951,32,2023-03-08,N
952,33,2023-03-08,N
953,34,2023-03-08,N
954,35,2023-03-08,N
955,36,2023-03-08,F
956,37,2023-03-08,N
957,38,2023-03-08,N
958,39,2023-03-08,N
959,40,2023-03-08,N
960,41,2023-03-08,N
961,42,2023-03-08,N
962,43,2023-03-08,N
963,44,2023-03-08,N
964,45,2023-03-08,N
965,46,2023-03-08,N
966,47,2023-03-08,N
967,48,2023-03-08,N
968,49,2023-03-08,N
969,50,2023-03-08,N
970,51,2023-03-08,N
971,52,2023-03-08,N
972,53,2023-03-08,N
973,54,2023-03-08,N
974,55,2023-03-08,N
975,56,2023-03-08,N
976,57,2023-03-08,N
977,58,2023-03-08,N
978,59,2023-03-08,N
979,60,2023-03-08,N
980,61,2023-03-08,N
981,62,2023-03-08,N
982,63,2023-03-08,N
983,64,2023-03-08,N
984,65,2023-03-08,N
985,66,2023-03-08,N
986,67,2023-03-08,N
987,68,2023-03-08,F
988,69,2023-03-08,N
989,70,2023-03-08,-
990,71,2023-03-08,N
991,72,2023-03-08,N
992,73,2023-03-08,N
993,74,2023-03-08,N
994,75,2023-03-08,N
995,76,2023-03-08,N
996,77,2023-03-08,N
997,78,2023-03-08,N
998,79,2023-03-08,N
999,80,2023-03-08,-
1000,81,2023-03-08,-
1001,82,2023-03-08,F
1002,83,2023-03-08,N
1003,84,2023-03-08,-
1004,85,2023-03-08,N
1005,86,2023-03-08,N
1006,87,2023-03-08,N
1007,88,2023-03-08,N
1008,89,2023-03-08,-
1009,90,2023-03-08,N
1010,91,2023-03-08,-
1011,92,2023-03-08,N
1012,93,2023-03-08,N
1013,94,2023-03-08,N
1014,95,2023-03-08,N
1015,96,2023-03-08,N
1016,97,2023-03-08,-
1017,98,2023-03-08,N
1018,99,2023-03-08,N
1019,100,2023-03-08,N
1020,101,2023-03-08,N
1021,102,2023-03-08,-
1022,103,2023-03-08,N
1023,104,2023-03-08,N
1024,105,2023-03-08,N
1025,106,2023-03-08,N
1026,107,2023-03-08,-
1027,108,2023-03-08,N
1028,109,2023-03-08,N
1029,110,2023-03-08,-
1030,111,2023-03-08,N
1031,112,2023-03-08,N
1032,113,2023-03-08,N
1033,114,2023-03-08,N
1034,115,2023-03-08,N
1035,1,2023-03-09,F
1036,2,2023-03-09,N
1037,3,2023-03-09,N
1038,4,2023-03-09,N
1039,5,2023-03-09,N
1040,6,2023-03-09,N
1041,7,2023-03-09,N
1042,8,2023-03-09,N
1043,9,2023-03-09,N
1044,10,2023-03-09,N
1045,11,2023-03-09,N
1046,12,2023-03-09,F
1047,13,2023-03-09,N
1048,14,2023-03-09,N
1049,15,2023-03-09,N
1050,16,2023-03-09,N
1051,17,2023-03-09,ND
1052,18,2023-03-09,N
1053,19,2023-03-09,N
1054,20,2023-03-09,N
1055,21,2023-03-09,N
1056,22,2023-03-09,N
1057,23,2023-03-09,N
1058,24,2023-03-09,N
1059,25,2023-03-09,N
1060,26,2023-03-09,N
1061,27,2023-03-09,N
1062,28,2023-03-09,N
1063,29,2023-03-09,N
1064,30,2023-03-09,N
1065,31,2023-03-09,N
1066,32,2023-03-09,N
1067,33,2023-03-09,N
1068,34,2023-03-09,N
1069,35,2023-03-09,N
1070,36,2023-03-09,N
1071,37,2023-03-09,N
1072,38,2023-03-09,N
1073,39,2023-03-09,N
1074,40,2023-03-09,N
